SR. NO,Model,UPC,SKU,Option,Item Name (English),Category Name ( Arabic),Item Name (Arabic),RRP,REMARKS,Unnamed: 10,Tag (English),"Tag,(Arabic)",SEO,English Desc,Arabic Desc
1,,,7D-A3161H11,,ANKER SOUNDCORE FLARE - BLACK,,انكر ساوند كور فلير سبيكر - أسود,24.0,,,"ANKER,SOUNDCORE,FLARE,BLACK","انكر,ساوند,كور,فلير,سبيكر,أسود",ANKER-SOUNDCORE-FLARE-BLACK,"
360° Sound
Give everyone in the room stage-side passes; Flare powers intense 360° sound via back-to-back full-range drivers and thumping bass radiators.

BassUp Technology
A customized digital signal processor first analyzes, then enhances your music's bass frequencies in real time. This audio signal is then turned into intensified sound via state-of-the-art neodymium drivers. Just press the BassUp button and prepare yourself for power.

Beat-Driven Light Show
Watch a halo of LEDs phase, pulse, and shine with the rhythm of your music for a completely immersive audiovisual experience. 5 customizable modes elevate the atmosphere of any event or setting.

Soundcore App
Flare is the first speaker to utilize the all-new Soundcore app; simple-but-powerful software that allows complete customization of Flare's sound and lights via smartphone or tablet.

Pool Party Proof
No matter where the music needs to be, Flare is suited up and ready. Super-safe IPX7 protection effortlessly withstands spills, rain, and even complete submersion in water. *We do not recommend partying underwater without breathing apparatus.

Beat Goes On & On & On
Soundcore's Anker heritage offers world-renowned power management technology. Enjoy almost 250 songs from a single charge and make sure the party never ends early—if you can keep dancing Flare can keep playing.

*Note:
For optimal performance in Wireless Stereo Mode, position speakers within 16 ft (5 m) of each other indoors, or 48 ft (15 m) in open spaces.
","صوت 360 درجة
امنح كل شخص في الغرفة تمريرات جانبية ؛ يقوم Flare بتشغيل صوت مكثف بزاوية 360 درجة عبر مشغلات كاملة النطاق متتالية ومشعات الجهير المذهلة.

تقنية باس اب
يقوم معالج الإشارات الرقمية المخصص أولاً بتحليل الترددات الجهير للموسيقى ، ثم تحسينها في الوقت الفعلي. يتم تحويل هذه الإشارة الصوتية بعد ذلك إلى صوت مكثف عبر أحدث محركات النيوديميوم. فقط اضغط على زر BassUp واستعد للقوة.

عرض ضوء تحركها الايقاعات
شاهد هالة من المرحلة ، والنبض ، والتألق مع إيقاع موسيقاك لتجربة سمعية بصرية غامرة تمامًا. 5 أوضاع قابلة للتخصيص ترفع من جو أي حدث أو مكان.

تطبيق Soundcore
Flare هو أول مكبر صوت يستخدم تطبيق Soundcore الجديد كليًا ؛ برنامج بسيط ولكنه قوي يسمح بالتخصيص الكامل للصوت والأضواء في Flare عبر الهاتف الذكي أو الكمبيوتر اللوحي.

إثبات حزب التجمع
بغض النظر عن المكان الذي يجب أن تكون فيه الموسيقى ، فإن Flare مناسب وجاهز. حماية IPX7 فائقة الأمان تقاوم بسهولة الانسكابات والمطر وحتى الغمر الكامل في الماء. * لا نوصي بالحفلات تحت الماء بدون جهاز تنفس.

ايقاع يستمر بلا توقف
يقدم تراث Anker من Soundcore تقنية إدارة الطاقة ذات الشهرة العالمية. استمتع بما يقرب من 250 أغنية من عملية شحن واحدة وتأكد من أن الحفلة لا تنتهي مبكرًا أبدًا - إذا كان بإمكانك الاستمرار في الرقص ، يمكنك مواصلة اللعب.

* ملاحظة:
 للحصول على الأداء الأمثل في وضع الاستريو اللاسلكي ، ضع مكبرات الصوت على مسافة 16 قدمًا (5 م) من بعضها البعض في الداخل ، أو 48 قدمًا (15 مترًا) في الأماكن المفتوحة.
"
2,,848061041057.0,7D-A3235H11,,ANKER SOUNDBUDS SLIM - BLACK,,انكر ساوندبودز سلِم سماعة أذنين لاسلكية بلوتوث – أسود,13.5,OUT OF STOCK,,"ANKER,SOUNDBUDS,SLIM,BLACK","انكر,ساوندبودز,سلِم,سماعة,أذنين,لاسلكية,بلوتوث,–,أسود",ANKER-SOUNDBUDS-SLIM-BLACK,"• Listen Up: Precision engineered 6mm drivers, fed via Bluetooth 5, offer powerful and skip-free audio.
• Find Your Fit: Lightweight design with customizable Ear Tips and EarWings give anyone a strong and comfortable fit.
• Leading Playtime: Listen for up to 10 hours on a single charge. Enough juice to soundtrack your day.
• IPX7 Waterproof: Superior protection against liquids such as rain, sweat, and water.
• What's In The Box: SoundBuds Slim, XS/S/M/L Ear Tips, S/M/L EarWings, Fit Clip, Shirt Clip, Micro USB Cable, Travel Pouch, welcome guide, our worry-free 18-month and friendly service.","• اسمع بوضوح: توفر محركات الأقراص بدقة 6 مم المصممة بدقة والتي يتم تغذيتها عبر تقنية Bluetooth 5 صوتًا قويًا وخاليًا من التخطي.
• يمكن التحكم بمستوى الصوت من خلال السماعة.
• سماعات خفيفة الوزن وضبط الاستخدام.
• يمكن سماع الموسيقى فيها لمدة سبع ساعات.
• مقاومة للماء بمعيار IPX4.
• يوجد في الصندوق : سماعات انكر ، سماعة الأذن المطاطية بحجم صغير / صغير / وسط / كبير ، كُلاب مطاطي للأذن بحجم صغير / وسط / كبير ، مشبك صغير ، مشبك كبير.
• كيبل مايكرو يوسبي ، كيس لحفظ السماعة السفر ، كتيب تعليمات."
3,,,7D-A3270HF1,BLACK/GRAY,ANKER SOUNDBUDS LIFE - BLACK/GRAY,,انكر ساوند بودز لايف سماعات أذن اللاسلكية بسوار للرقبة – أسود / رمادي,17.5,OUT OF STOCK,,"ANKER,SOUNDBUDS,LIFE,BLACK,GRAY","انكر,ساوند,بودز,لايف,سماعات,أذن,اللاسلكية,بسوار,للرقبة,–,أسود,رمادي",ANKER-SOUNDBUDS-LIFE-BLACK-GRAY,"High-Fidelity Music
8.6mm drivers deliver rich, powerful audio. Multi-size EarTips ensure a comfortable, tailored fit and efficient noise isolation. Simply plug in and focus on your sounds.

Listen Longer
Grab up to 20 hours of audio, or 24h of talktime thanks to exclusive Anker battery technology. Fully charge in just 90 minutes, or add 1.5 hours of music from a quick 10 minute recharge.

Intuitive Design
A lightweight, yet sturdy silicon neckband delivers a comfortable and supportive hold. Taking a break from the tunes? Simply clip the earbuds together for effortless storage.

Water Resistant
Built for lifeproof performance; IPX5 engineering means you can lock-in and listen in the rain, or sweat it out at the gym.

A Great Call
SoundBuds Life are ideal for hands free calling, thanks to a built-in microphone, call vibration and CVC noise reduction. An in-line remote makes managing your music, and answering your phone ultra simple.

Note:
Hold vol+ for 2 seconds to skip track forward.
Hold vol- for 2 seconds to skip track back.","موسيقى عالية الدقة
استمع إلى مقطوعاتك الموسيقية المفضلة واسرح بخيالك مع أنغامها مع سماعة الأذن البلوتوث الرياضية من انكر. فهي مزودة بإطار بقياس 8.6 ملم يمنحك أداء صوتياً نقيًا وواضحًا. كما أنها متوفرة بمقاسات متعددة تمكنك من استخدام السماعة بسهولة وراحة إلى جانب عزلها الفعال للضوضاء. فما عليك سوى أن تقوم بتوصيل سماعة الرأس هذه والتخلص من جميع الضوضاء التي حولك والاستمتاع بتجربة استماع رائعة. كما تحتوي سماعة الرأس على سوار للرقبة مصنوع من السيليكون، يتميز بأنه متين وخفيف الوزن مما يمنحه ثباتًا على رقبتك. يمكنك تخزين سماعة الأذن بسهولة فقط عن طريق تثبيت كلا جانبي السماعة معًا.

بطارية استثنائية
تتميز سماعة الأذن البلوتوث الرياضية من انكر باللون الأسود بتقنية بطارية انكر التي تتيح لك الاستماع إلى المقاطع الصوتية لمدة تصل إلى 20 ساعة أو التحدث مع أحبائك لمدة تصل إلى 24 ساعة بمرة شحن واحدة فقط. يمكن شحنها بالكامل في 90 دقيقة فقط. فإذا كنت على عجلة من أمرك يمكنك شحن سماعة 
الأذن لمدة 10 دقائق فقط والاستمتاع بالاستماع إلى أغانيك المفضلة لمدة ساعة ونصف بدون انقطاع.

ميكروفون وهيكل استثنائي
تتميز سماعة الأذن الرياضية من انكر بهيكل IPX5 الهندسي الذي يتيح لك الاستماع إلى مقطوعاتك المفضلة أثناء هطول الأمطار أو التعرق في صالة الألعاب الرياضية. بالإضافة إلى الميكروفون المدمج الذي يتيح لك إجراء المكالمات بدون استخدام اليدين وتقنية سي في سي لخفض الضوضاء. كما يٌمكنك جهاز التحكم عن بُعد الموجود بالسماعة من إدارة الموسيقى الخاصة بك والرد على مكالماتك الهاتفية بأقصى قدر من السهولة."
3,,,7D-A3271H11,BLACK,ANKER SOUNDBUDS LIFE - BLACK,,انكر ساوندبودز لايت سماعات أذنين لاسلكية بلوتوث – أسود,14.0,OUT OF STOCK,,"ANKER,SOUNDBUDS,LIFE,BLACK","انكر,ساوندبودز,لايت,سماعات,أذنين,لاسلكية,بلوتوث,–,أسود",ANKER-SOUNDBUDS-LIFE-BLACK,,
4,,,7D-A3370K11,,ANKER SOUNDCORE INFINI MINI - BLACK,,انكر ساوند كور إنفيني ميني مكبر صوت - أسود,29.5,OUT OF STOCK,,"ANKER,SOUNDCORE,INFINI,MINI,BLACK","انكر,ساوند,كور,إنفيني,ميني,مكبر,صوت,أسود",ANKER-SOUNDCORE-INFINI-MINI-BLACK,"• 21 inches of room-filling sound: infiniti Mini's two full-range drivers and bass port Fuel immersive cinema sound, while its compact build makes it the perfect fit FOR smaller spaces
• Adapt your audio: music and movie modes tailor sound output to your entertainment
• Multiple input options: use the optical or aux cables to connect to your TV, or use Bluetooth to stream content directly from your mobile devices
• Easy to use: Conveniently control via the remote or built-in buttons
• What you get: SoundCore infiniti mini, power adapter, Remote control, 2 × AAA batteries, 1.5 m RCA to 3.5mm stereo audio cable, 1.5 m digital Optical cable, 2 × wall mount screw plugs and screws, user Manual, our worry-free 18-month warranty, and friendly customer service","• قم بتكييف الصوت لديك: تكيف أوضاع الموسيقى والأفلام الإخراج الصوتي حسب برامجك الترفيهية.
• خيارات إدخال متعددة: استخدم الكابلات الضوئية أو المساعدة للتوصيل بالتلفزيون الخاص بك، أو استخدم البلوتوث لبث المحتوى مباشرة من أجهزتك المحمولة
• سهلة الاستخدام: تحكم مريح من خلال جهاز التحكم عن بعد أو الأزرار المدمجة
• ما تحصل عليه: جهاز ساوند كور انفينيتي ميني، محول طاقة، جهاز تحكم عن بعد، بطاريتا AAA، كابل تحويل ار سي ايه بطول 1.5 متر إلى صوت ستيريو 3.5 ملم، كابل بصري رقمي بطول 1.5 متر، 2 × سدادات براغي تثبيت على الحائط، دليل المستخدم، ضماننا لمدة 18 شهرًا وخدمة عملاء سلسة بلا متاعب.
• 21 إنش لصوت يملأ الغرفة: يؤجج محولا الطاقة كاملا النطاق في سماعة انفينيتي ميني ومنفذ صوت باس الصوت السينمائي الغامر، بينما يجعله تصميمه الصغير مناسبًا للمساحات غير الواسعة."
5,,848061056433.0,7D-A34020F1,,ANKER SOUNDCORE SPIRIT PRO - BLACK/GRAY,,انكر ساوند كور سبيريت برو سماعات رأس – أسود,18.5,,,"ANKER,SOUNDCORE,SPIRIT,PRO,BLACK,GRAY","انكر,ساوند,كور,سبيريت,برو,سماعات,رأس,–,أسود",ANKER-SOUNDCORE-SPIRIT-PRO-BLACK-GRAY,"Soundcore Spirit Pro
The Wireless Bluetooth Earphones with Dual EQ
Better Than IP
Even the highest IPX-ratings are simply not enough to defend against the corrosive power of sweat. Spirit implements a submarine-inspired structure and an impermeable hydro-seal to create a barrier around the sensitive internal components.
Dual EQ Modes
Don’t let your music fall behind as your workout intensifies. Unleash a heavy-hitting wave of sound with deeper bass when you switch to workout mode.
Exceptional Playtime
Drawing from Soundcore’s Anker heritage, Spirit Pro is engineered with a premium Li-ion battery and exclusive power management technology. This ultra-efficient combination offers 10 hours of non-stop music to keep your workouts covered for the whole week.
Optimized Sound Quality
To preserve sound data and ensure you hear your music in high quality, Spirit Pro is equipped with aptX high-fidelity audio and 6 mm graphene drivers.
Convenient Calls
A built-in microphone and 3-button remote are built into Spirit Pro’s neckband for easy control. Stereo calling enhances the call experience by enabling you to hear the person on the other end in both earbuds.
Customize Your Fit
EarTips and EarWings are supplied in multiple sizes, allowing you to find your perfect fit and create a better seal for improved passive noise cancellation.
Note: Thanks to Spirit Pro's extreme waterproof protection, it does not require a cover for its charging port.","ساوند كور سبيريت برو
سماعات البلوتوث اللاسلكية مع المعادل المزدوج

أفضل من الـ IP
حتى أعلى تصنيفات IPX ليست كافية ببساطة للدفاع ضد القوة المسببة للتآكل للعرق. تقوم Spirit بتنفيذ هيكل مستوحى من الغواصة وختم مائي غير منفذ لإنشاء حاجز حول المكونات الداخلية الحساسة.

أوضاع معادل مزدوجة
لا تدع موسيقاك تتأخر مع اشتداد التمرين. أطلق العنان لموجة عالية من الصوت مع جهير أعمق عند التبديل إلى وضع التمرين.

وقت لعب استثنائي
استنادًا إلى تراث Anker لشركة Soundcore ، تم تصميم Spirit Pro ببطارية Li-ion المتميزة وتقنية إدارة الطاقة الحصرية. يوفر هذا المزيج الفائق الكفاءة 10 ساعات من الموسيقى بدون توقف للحفاظ على تدريباتك مغطاة طوال الأسبوع.

جودة صوت محسنة
للحفاظ على بيانات الصوت والتأكد من أنك تسمع الموسيقى الخاصة بك بجودة عالية ، تم تجهيز Spirit Pro بصوت عالي الدقة aptX ومحركات الجرافين 6 مم.

مكالمات مريحة
تم دمج ميكروفون مدمج وجهاز تحكم عن بُعد بثلاثة أزرار في طوق حول الرقبة لـ Spirit Pro لسهولة التحكم. تعمل ميزة الاتصال الاستريو على تحسين تجربة المكالمة من خلال تمكينك من سماع الشخص على الطرف الآخر في كلتا سماعات الأذن.


مخصصة لتناسبك
يتم توفير EarTips و EarWings بأحجام متعددة ، مما يتيح لك العثور على الملاءمة المثالية وإنشاء ختم أفضل لإلغاء الضوضاء السلبي المحسن.

ملاحظة: بفضل الحماية الفائقة للماء من سبيريت برو ، فإنها لا تتطلب غطاء لمنفذ الشحن الخاص بها."
6,,,7D-A3701011,,ANKER SOUNDBUDS MONO BLUETOOTH - BLACK,,انكر ساوندبودز بلوتوث أحادية - أسود,9.5,OUT OF STOCK,,"ANKER,SOUNDBUDS,MONO,BLUETOOTH,BLACK","انكر,ساوندبودز,بلوتوث,أحادية,أسود",ANKER-SOUNDBUDS-MONO-BLUETOOTH-BLACK,"Anker Mono BT
The Bluetooth Headset with Superior Call Quality

...No, You Hang Up!
High-performance battery provides up to 15 hours of talk time or 10 days of standby from a single charge.

Crystal-Clear Connection
SoundBuds Mono BT is equipped with Bluetooth 4.1 and cVc noise cancellation technology for a stable connection and superior call quality.

All Day Wear
WingTips in multiple sizes and a detachable EarHook ensure SoundBuds Mono BT remains securely in place while you go about your day.

3-Button Control
Easy to use controls allow you to conveniently answer calls on-the-go, play or pause music, and adjust the volume.","أنكر مونو BT
سماعة بلوتوث بجودة اتصال فائقة

مكالمات بلا توقف
توفر البطارية عالية الأداء ما يصل إلى 15 ساعة من وقت التحدث أو 10 أيام من وضع الاستعداد من شحنة واحدة.

اتصال فائق الوضوح
تم تجهيز SoundBuds Mono BT بتقنية Bluetooth 4.1 و cVc لإلغاء الضوضاء من أجل اتصال مستقر وجودة اتصال فائقة.

ارتداء طوال اليوم
تضمن WingTips بأحجام متعددة وخطاف الأذن القابل للفصل بقاء SoundBuds Mono BT في مكانها بشكل آمن أثناء قضاء يومك.

3 أزرار للتحكم
تتيح لك أدوات التحكم سهلة الاستخدام الرد بسهولة على المكالمات أثناء التنقل وتشغيل الموسيقى أو إيقافها مؤقتًا وضبط مستوى الصوت."
7,,848061040623.0,7D-A7142H11,,ANKER DASHBOARD AND WINDSHIELD CAR MOUNT - BLACK,,انكر حامل هواتف على لوحة قيادة و زجاج السيارة,8.0,OUT OF STOCK,,"ANKER,DASHBOARD,AND,WINDSHIELD,CAR,MOUNT,BLACK","انكر,حامل,هواتف,على,لوحة,قيادة,و,زجاج,السيارة",ANKER-DASHBOARD-AND-WINDSHIELD-CAR-MOUNT-BLACK,"• Easy installation.
• Strong, adjustable grip for almost any phone.
• Designed with highly-flexible ball-joint rotation.
• Customise location, length and angle to optimise display.
• Secure suction.
• Simple quick button-press to free your phone.

Features:
Convenient & Secure
A secure spring-loaded cradle with silicone-padded grips ensures your phone stays secure throughout your drive.
The adjustable design expands to fit almost any phone (2.1 to 3.7 inches wide) and keeps it securely fixed throughout your drive.

Infinite Viewing Angles
An extendable arm providing an extra 2.4 inch reach with a 260 degree arc and a highly-flexible ball joint allow you to easily adjust your phone to the perfect angle.

Secure Mounting
The suction clamp base implements a 2-step locking mechanism for a stronger grip.
Mount your phone on your dashboard or windshield, confident it is secure.

Hassle-Free Installation
Mounting is easily managed in less than half a minute.
Set up the mount, insert your phone, and drive away.","• سهل التركيب.
• قبضة قوية وقابلة للتعديل لأي هاتف تقريبًا.
• مصممة مع دوران مفصل كروي عالي المرونة.
• تخصيص الموقع والطول والزاوية لتحسين العرض.
• شفط آمن.
• بسيطة سريعة الضغط على زر لتحرير هاتفك.

المميزات:

مريح وآمن
يضمن المهد الآمن الذي يتم تحميله بنابض والمقابض المبطنة بالسيليكون بقاء هاتفك آمنًا طوال فترة القيادة.
يتوسع التصميم القابل للضبط ليناسب أي هاتف تقريبًا (بعرض 2.1 إلى 3.7 بوصات) ويحافظ عليه ثابتًا بشكل آمن طوال محرك الأقراص.

زوايا مشاهدة لانهائية
يتيح لك الذراع القابل للتمديد وصولًا إضافيًا يبلغ 2.4 بوصة مع قوس 260 درجة ومفصل كروي شديد المرونة لضبط هاتفك بسهولة على الزاوية المثالية.

تركيب آمن
تقوم قاعدة مشبك الشفط بتنفيذ آلية قفل من خطوتين لقبضة أقوى.
قم بتركيب هاتفك على لوحة القيادة أو الزجاج الأمامي ، واثق من أنه آمن.

تركيب خالي من المتاعب
يمكن إدارة التركيب بسهولة في أقل من نصف دقيقة.
قم بإعداد الحامل وأدخل هاتفك وابتعد."
8,ANKER CABLES,,7D-A8168H91,0.9M,ANKER POWERLINE+ USB-C TO USB 3.0 - 0.9M/3FT - RED,,انكر وصلة شحن باورلاين بلص يو اس بي سي إلى يو اس بي 3 0.9 متر/ 3 قدم - أحمر,5.0,OUT OF STOCK,,"ANKER,POWERLINE+,USB-C,TO,USB,3.0,0.9M,3FT,RED","انكر,وصلة,شحن,باورلاين,بلص,يو,اس,بي,سي,إلى,يو,اس,بي,3,0.9,متر,3,قدم,أحمر",ANKER-POWERLINE+-USB-C-TO-USB-3.0-0.9M-3FT-RED,"Overview: 
From ANKER, America's Leading USB Charging Brand.
Faster and safer charging with our advanced technology.
20 million+ happy users and countin.
Features:
Superspeed Syncing
Transfer data to and from all your USB devices at speeds of up to 5 Gbps. That's an HD movie or over 1000 songs every 5 seconds.

High-Speed Charging
Use any phone charger, portable charger or multi-port USB charger to charge your new MacBook, ChromeBook Pixel or other USB-C devices via this cable.

Unrivaled Durability
PowerLine+ may be the last cable you'll ever need. Proven to last at least 5 times as long as other cables, it boasts a bend tolerance 5 times higher. It is simply one of the most durable cables, ever.

Compatible Devices : 
Nexus 5X/6P
MacBook (2016)/MacBook Pro 13.3''/MacBook Pro 15.4''
Nintendo Switch
Google Chromebook/Pixel C
Google Pixel/Pixel XL","نظرة عامة:
من ANKER ، العلامة التجارية الرائدة لشحن USB في أمريكا.
شحن أسرع وأكثر أمانًا مع تقنيتنا المتقدمة.
20 مليون + مستخدم سعيد وعد.

مميزات:
مزامنة فائقة السرعة
انقل البيانات من وإلى جميع أجهزة USB بسرعات تصل إلى 5 جيجابت في الثانية. إنه فيلم عالي الدقة أو أكثر من 1000 أغنية كل 5 ثوان.

شحن عالي السرعة
استخدم أي شاحن هاتف أو شاحن محمول أو شاحن USB متعدد المنافذ لشحن جهاز MacBook أو ChromeBook Pixel الجديد أو أجهزة USB-C الأخرى عبر هذا الكابل.

متانة لا مثيل لها
قد يكون PowerLine + آخر كابل ستحتاج إليه. ثبت أنها تدوم 5 مرات على الأقل مثل الكابلات الأخرى ، فهي تتميز بتحمل الانحناء أعلى 5 مرات. إنه ببساطة أحد أكثر الكابلات متانة على الإطلاق.

الأجهزة المتوافقة:
Nexus 5X / 6P
MacBook (2016) / MacBook Pro 13.3 بوصة / MacBook Pro 15.4 بوصة
نينتندو سويتش
جوجل كروم بوك / بكسل سي
جوجل Pixel / Pixel XL"
