SR. NO,Model,UPC,SKU,Option,Item Name (English),Category Name ( Arabic),Item Name (Arabic),RRP,REMARKS,Unnamed: 10,Tag (English),"Tag,(Arabic)",SEO,English Desc,Arabic Desc
30,,6942936707308.0,MGT-AM01,,AIRMATE AIRPOD WIRELESS CHARGING CASE - WHITE,,أيرميت أيربود غلاف شحن ذكي – أبيض,10.0,,,"AIRMATE,AIRPOD,WIRELESS,CHARGING,CASE,WHITE","أيرميت,أيربود,غلاف,شحن,ذكي,–,أبيض",AIRMATE-AIRPOD-WIRELESS-CHARGING-CASE-WHITE,"• Wireless Charging Case.
• Protective Case.
• Standred: Qi
• Input: 5V/1A
• Conversation Rate: <80%
• Output: 5V/0.5A
• Size: 50*65*29.5mm","• علبة الشحن اللاسلكي.
• حافظة واقية.
• قياسي : Qi
• الإدخال: 5 فولت / 1 أمبير
• معدل المحادثة: <80٪
• المخرج: 5 فولت / 0.5 أمبير
• الحجم: 50 * 65 * 29.5 ملم"
31,,6942936704406.0,MGT-CC-01,,ICONNECT CAR CHARGER 3IN1 CABLE,,اي كونكت وصلة شاحن سيارة 3 في 1,3.3,,,"ICONNECT,CAR,CHARGER,3IN1,CABLE","اي,كونكت,وصلة,شاحن,سيارة,3,في,1",ICONNECT-CAR-CHARGER-3IN1-CABLE,"
Exquisite nylon braided USB cable a multi USB cable is built with Apple lightning connector, USB-c connector and a standard micro USB connector for wider compatibility with more mobile USB devices.
Features: 
Reliable durability
The 3 metal connector heads are made of sturdy stainless steel for easy connection.
Wide compatibility
USB-c, lightning and micro USB connectors largely widen the cable’s purposes. It’s widely compatible with android, apple, and USB-c smartphones, tablets and other devices.
Charge and data sync cable
All the heads of this cable can be used for fast charging and transferring data to your devices. It adopts the anti-oxidation copper wire material that can ensure a stable current and a safe charging environment.
High-Quality.
Lightning, Type-C & Micro USB.","نظرة عامة:

كبل USB مضفر من النايلون الرائع تم تصميم كبل USB متعدد مع موصل Apple lightning وموصل USB-c وموصل USB صغير قياسي لتوافق أوسع مع المزيد من أجهزة USB المحمولة.

ميزات:

متانة موثوقة
رؤوس الموصلات المعدنية الثلاثة مصنوعة من الفولاذ المقاوم للصدأ المتين لسهولة التوصيل.

توافق واسع
تعمل موصلات USB-c و lightning و micro USB على توسيع أغراض الكبل إلى حد كبير. إنه متوافق على نطاق واسع مع الهواتف الذكية والأجهزة اللوحية التي تعمل بنظام Android و apple و USB-c والأجهزة الأخرى.

كابل الشحن ومزامنة البيانات
يمكن استخدام جميع رؤوس هذا الكابل للشحن السريع ونقل البيانات إلى أجهزتك. إنها تعتمد مادة الأسلاك النحاسية المضادة للأكسدة التي يمكن أن تضمن تيارًا مستقرًا وبيئة شحن آمنة.
جودة عالية.
Lightning من النوع C و Micro USB."
32,,6942936706110.0,MGT-IC-05BLK,,ICONNECT 3IN1 5FT CHARGING CABLE NYLON BRAIDED - BLACK,,اي كونكت وصلة شحن نايلون 3 في 1 بطول 5 قدم - أسود,3.0,,,"ICONNECT,3IN1,5FT,CHARGING,CABLE,NYLON,BRAIDED,BLACK","اي,كونكت,وصلة,شحن,نايلون,3,في,1,بطول,5,قدم,أسود",ICONNECT-3IN1-5FT-CHARGING-CABLE-NYLON-BRAIDED-BLACK,"3 in 1 fast charge sync cable
Length: 5 feet nylon braided
Lightning, type C & micro USB.
Fast charging.
Exquisite Nylon Braided USB Cable:
Multi USB cable is built with Apple Lightning connector, USB-C connector and standard Micro USB connector for wider compatibility with more mobile USB devices
Reliable Durability:
The 3 metal connector heads are made of sturdy stainless steel for easy connection
Wide Compatibility:
USB-C, Lightning and Micro USB connectors largely widen the cable’s purposes. It’s widely compatible with Android, Apple and USB-C smartphones, tablets and other devices
Charge and Data Sync Cable:
All the heads of this cable can be used for fast charging and transferring data to your devices. It adopts the anti-oxidation copper wire material that can ensure a stable current and a safe charging environment","3 في 1 كابل مزامنة سريع الشحن
الطول: 5 أقدام نايلون مضفر
Lightning من النوع C و micro USB.
شحن سريع.
كابل USB مضفر من النايلون الرائع:
تم تصميم كبل USB متعدد مع موصل Apple Lightning وموصل USB-C وموصل Micro USB قياسي لتوافق أوسع مع المزيد من أجهزة USB المحمولة.

متانة موثوقة:
رؤوس الموصلات المعدنية الثلاثة مصنوعة من الفولاذ المقاوم للصدأ المتين لسهولة التوصيل.

توافق واسع:
تعمل موصلات USB-C و Lightning و Micro USB على توسيع نطاق أغراض الكابل. إنه متوافق على نطاق واسع مع الهواتف الذكية والأجهزة اللوحية والأجهزة الأخرى التي تعمل بنظام Android و Apple و USB-C.

كابل الشحن ومزامنة البيانات:
يمكن استخدام جميع رؤوس هذا الكابل للشحن السريع ونقل البيانات إلى أجهزتك. إنها تعتمد مادة الأسلاك النحاسية المضادة للأكسدة التي يمكن أن تضمن تيارًا مستقرًا وبيئة شحن آمنة."
33,,6942936706868.0,MGT-ICG8BL,,AUTO STOP 3IN1 ICONNECT 8.2FT AUTOSTOP NYLON BRAIDED - BLACK,,اوتو ستوب وصلة شحن نايلون 3 في 1 بطول 8.2 قدم - أسود,7.0,,,"AUTO,STOP,3IN1,ICONNECT,8.2FT,AUTOSTOP,NYLON,BRAIDED,BLACK","اوتو,ستوب,وصلة,شحن,نايلون,3,في,1,بطول,8.2,قدم,أسود",AUTO-STOP-3IN1-ICONNECT-8.2FT-AUTOSTOP-NYLON-BRAIDED-BLACK,"• High-Quality.
• Length: 8.2 FT.
• 3 In 1 Fast Charging Sync Cable.
• Lightning, Type-C & Micro USB.","• جودة عالية.
• الطول: 8.2 قدم
• 3 في 1 كابل مزامنة سريع الشحن.
• Lightning و Type C و Micro USB."
34,,6942936707919.0,MGT-IGS10LT,,IGUARD S10E GLASS,,اي جرد زجاج اي جرد اس 10 اي,8.25,,,"IGUARD,S10E,GLASS","اي,جرد,زجاج,اي,جرد,اس,10,اي",IGUARD-S10E-GLASS,"• Ultra-thin.
• Full-Screen Coverage.
• Edge to Edge Protection.
• Highly durable and scratch-resistant.","• نحيف للغاية.
• تغطية كاملة للشاشة.
• حماية من الحافة إلى الحافة.
• متينة للغاية ومقاومة للخدش."
35,,6942936705632.0,MGT-IGXFB,,IGUARD PREMIUM GLASS PROTECTOR FOR X/XS,,اي جرد واقي شاشة لأجهزة آيفون,8.0,,,"IGUARD,PREMIUM,GLASS,PROTECTOR,FOR,X,XS","اي,جرد,واقي,شاشة,لأجهزة,آيفون",IGUARD-PREMIUM-GLASS-PROTECTOR-FOR-X-XS,"• Compatible with Apple iPhone X/XS.
• Premium protection against scratches and cracks.
• Does not interfere with touchscreen sensitivity.
• Easy to clean.","• متوافق مع Apple iPhone X / XS.
• حماية ممتازة ضد الخدوش والشقوق.
• لا يتعارض مع حساسية الشاشة التي تعمل باللمس.
• سهل التنظيف."
36,,784099381560.0,LNK-M-MSB01859-BK,,CELLAIRIS MINI POWER SUCTION 10000 MAH - BLACK,,سيليريز ميني باور بنك طاقة بكؤوس شفط سعة 10000 مل أمبير ساعي – أسود,12.0,,,"CELLAIRIS,MINI,POWER,SUCTION,10000,MAH,BLACK","سيليريز,ميني,باور,بنك,طاقة,بكؤوس,شفط,سعة,10000,مل,أمبير,ساعي,–,أسود",CELLAIRIS-MINI-POWER-SUCTION-10000-MAH-BLACK,"• Brand: Cellairis
• Trio Input Port: Lightning, Micro USB & Type-C
• LED Power Indicators
• Suction Cups
• Capacity: 10000mAh","• الماركة: Cellairis
• منفذ الإدخال الثلاثي: Lightning و Micro USB و Type-C
• مؤشرات طاقة LED
• أكواب شفط
• السعة: 10000 مللي أمبير"
37,,784099381850.0,LNK-M-MWS01947,,CELLAIRIS MAJESTY TWS WIRELESS EARPHONE DARKGREY BRUSHED - ALUMINUM,,سيليريز سماعات MAJESTY TWS اللاسلكية رمادي غامق أملس - ألمنيوم,19.95,OUT OF STOCK,,"CELLAIRIS,MAJESTY,TWS,WIRELESS,EARPHONE,DARKGREY,BRUSHED,ALUMINUM","سيليريز,سماعات,MAJESTY,TWS,اللاسلكية,رمادي,غامق,أملس,ألمنيوم",CELLAIRIS-MAJESTY-TWS-WIRELESS-EARPHONE-DARKGREY-BRUSHED-ALUMINUM,"• Brand: Cellairis
• Majesty Tws Wireless Earphone
• Color: Dark Grey Brushed
• Material: Aluminum","• الماركة: Cellairis
• سماعة ماجستي Tws اللاسلكية
• اللون: رمادي غامق ناعم
• المواد: الألومنيوم"
38,,711463997638.0,LNK-M-TSP02410,BLACK,CELLAIRIS STYLUS TOUCH SCREEN PEN - BLACK,,سيليريز قلم لمس - أسود,2.95,OUT OF STOCK,,"CELLAIRIS,STYLUS,TOUCH,SCREEN,PEN,BLACK","سيليريز,قلم,لمس,أسود",CELLAIRIS-STYLUS-TOUCH-SCREEN-PEN-BLACK,"• Best styles pen for All touch screen devices.
• Fast and lightweight for long time use.
• Lightweight.
• Works with all touch screen devices.
• Easy to use.
• Safe to use.
• Leaves no scratch on your touchscreen.","• أفضل أنماط أقلام لجميع أجهزة الشاشات التي تعمل باللمس.
• سريع وخفيف الوزن للاستخدام لفترة طويلة.
• وزن خفيف.
• يعمل مع جميع أجهزة الشاشات التي تعمل باللمس.
• سهل الاستخدام.
• آمن للاستخدام.
• لا يترك أي خدش على الشاشة التي تعمل باللمس."
38,,711463997652.0,LNK-M-TSP02412,SILVER,CELLAIRIS STYLUS TOUCH SCREEN PEN - SILVER,,سيليريز قلم لمس - فضي,2.95,OUT OF STOCK,,"CELLAIRIS,STYLUS,TOUCH,SCREEN,PEN,SILVER","سيليريز,قلم,لمس,فضي",CELLAIRIS-STYLUS-TOUCH-SCREEN-PEN-SILVER,,
39,,6959633391392.0,LNK-CACW-09,,TOTU JOE SERIES WIRELESS CHARGER,,توتو جوي سيريز شاحن لاسلكي,7.5,,,"TOTU,JOE,SERIES,WIRELESS,CHARGER","توتو,جوي,سيريز,شاحن,لاسلكي",TOTU-JOE-SERIES-WIRELESS-CHARGER,"• Glass fast charge.
• Small and exquisite Easy to carry.
• Upgrade chip: Automatic identification model, the fast filling of the exclusive iPhone X.
• Fast speed charging Comparable to the original A maximum of 10 watts of charging power Provide safe and fast charging
• Intelligent recognition: Support two kinds of output power of 5 W or 10 W, mobile phone can be automatically matched.
• 8mm Induction distance Wearing a cell phone shell can also be recharged normally.","• شاحن زجاجي سريع.
• تصميم صغير ورائع يسهل حمله.
• الرقاقة : نموذج التعرف التلقائي، شحن سريع حصرياً لأجهزة آيفون X.
• شحن سريع مقارنة بالأصلي بحد أقصى وقدره 10 واط من طاقة الشحن مع توفير شحن آمن وسريع.
• التعرف الذكي: دعم نوعين من انتاج الطاقة من 5 واط أو 10 واط، يمكن مطابقة الهاتف المحمول تلقائيًا.
• المسافة التعريفية 8 مم تعمل على الهواتف حتى لو كانت ضمن غطاء كما يمكن أيضاً إعادة شحنها بشكل طبيعي."
40,,6959633397251.0,LNK-DCCD-05-BK,,TOTU SMART DUAL USB CAR CHARGER 1.2M 2IN1 CABLE - STAINLESS STEEL,,توتو سمارت شاحن كابل شاحن للسيارة مزدوج يو إس بي بطول 1.2 متر - ستانلس ستيل,6.5,OUT OF STOCK,,"TOTU,SMART,DUAL,USB,CAR,CHARGER,1.2M,2IN1,CABLE,STAINLESS,STEEL","توتو,سمارت,شاحن,كابل,شاحن,للسيارة,مزدوج,يو,إس,بي,بطول,1.2,متر,ستانلس,ستيل",TOTU-SMART-DUAL-USB-CAR-CHARGER-1.2M-2IN1-CABLE-STAINLESS-STEEL,"• Dual USB car charger.
• 2 in 1 car phone charger.
• Lightning & micro USB.
• Fast charging.","• شاحن يو إس بي مزدوج للسيارة
• شاحن هواتف للسيارة 2 في 1
• موصلات لايتننج ومايكرو يو إس بي
• توفير شحن سريع"
41,,6959633398838.0,LNK-DCCL-02-BK,,TOTU MULTIFUNCITON CABLE CAR CHARGER UP TO 150CM,,توتو كابل شاحن للسيارة متعدد الوظائف - بطول 150سم,5.0,OUT OF STOCK,,"TOTU,MULTIFUNCITON,CABLE,CAR,CHARGER,UP,TO,150CM","توتو,كابل,شاحن,للسيارة,متعدد,الوظائف,بطول,150سم",TOTU-MULTIFUNCITON-CABLE-CAR-CHARGER-UP-TO-150CM,"• One port three spring line car charger.
• 3 in 1 car phone charger.
• Lightning, micro and type-c spring cable.
• Fast charging.","• منفذ واحد لثلاثة للشحن في للسيارة مع سلك لولبي
• شاحن هواتف للسيارة 3 في 1
• موصلات لايتننج ومايكرو يو إس بي ويو إس بي فئة سي
• توفير شحن سريع"
42,,6959633390085.0,LNK-DCTV-02,,TOTU ALIGATOR CLIP STYLE HOLDER,,توتو آليغيتور حامل هواتف للسيارة مزود بمشبك,5.5,,,"TOTU,ALIGATOR,CLIP,STYLE,HOLDER","توتو,آليغيتور,حامل,هواتف,للسيارة,مزود,بمشبك",TOTU-ALIGATOR-CLIP-STYLE-HOLDER,"• Steady and durable.
• Safe travel mini exquisite.
• Flexible 360 degree rotation.
• Long lasting use.
• Securely drive no block driver's view, securely drive, safe travel.
• Compatible with without shaking 4.6-7 inch devices.
• Multi-direction adjustable more flexible angles compact size.
• No fear of violent turbulence with the help of the gravity of the mobile phone, arm clamping lock, firmly lock the mobile phone.","• ثابت ومتين.
• تصميم مدمج وصغير وآمن للسفر على نحو رائع.
• مرونة دوران كامل 360 درجة.
• استخدام طويل الأمد.
• قيادة آمنة وجهة نظر مريحة للسائق، آمنة خلال السفر.
• متوافق من دون اهتزاز مع الأجهزة التي تمتلك شاشات بحجم يتراوح ما بين 4.6 إلى 7 بوصة.
• متعدد الاتجاه وقابل للتعديل، أكثر مرونة، وحجم زوايا المدمجة.
• لا خوف من الصدمات العنيفة ولا خوف أو خطورة على الهاتف المحمول، قفل الذراع، قفل الهاتف المحمول بإحكام."
43,,6959633399538.0,LNK-T-CMDCTV05,,TOTU U SHIELD GRAVITY EXQUISITE CAR MOUNT - BLACK,,توتو يو شيلد جرافيتي إكسكويزت حامل تعليق هاتف للسيارة – أسود,6.0,OUT OF STOCK,,"TOTU,U,SHIELD,GRAVITY,EXQUISITE,CAR,MOUNT,BLACK","توتو,يو,شيلد,جرافيتي,إكسكويزت,حامل,تعليق,هاتف,للسيارة,–,أسود",TOTU-U-SHIELD-GRAVITY-EXQUISITE-CAR-MOUNT-BLACK,"• Single hand operation gravity car mount.
• Mechanical linkage principle free stretching.
• Charging does not affect operation practical and convenient.
• Silicone protection no longer worry about scratching your phone and car.
• Reserve charging socket reserved data line charging interface, driving more worry free.
• Firm and not loose add silicone protection, anti-skid and shockproof, plug and stabilize.","• حامل تعليق للسيارة مع آلية تحكم بيد واحدة.
• آلية تثبيت ميكانيكية مع آلية التمديد الحر.
• تثبيت مريح ولا يؤثر على الهاتف، كما يمكن شحنه أثناء وجوده على الحامل.
• مع حماية بطبقة من السيليكون تعني أنه لم يعد هناك قلق بشأن تعرض الهاتف أو سطح التعليق في السيارة لخدش.
• مدخل محدد للشحن ليمر منه كابل الشحن إلى الهاتف على الحامل، لقيادة أكثر راحة دون قلق.
• تثبيت محكم خالي من الفراغات بفضل وجود طبقة سميكة من السيليكون للحد من الفراغ ولإضافة  مزيد من الحماية، مع منع السقوط والانزلاق والصدمات، مع أعلى مستوى من الثبات والاستقرار."
44,,8886463664100.0,B2B-UNIQ-42MM-KRDUBK,BLACK,UNIQ KRONOS DUFFLE FOR APPLE WATCH 42MM LEATHER DALLAS - BLACK,,يونيك كرونوس دوفل رباط معصم جلدي دالاس لساعة يد آبـل 42 مم – أسود,11.5,OUT OF STOCK,,"UNIQ,KRONOS,DUFFLE,FOR,APPLE,WATCH,42MM,LEATHER,DALLAS,BLACK","يونيك,كرونوس,دوفل,رباط,معصم,جلدي,دالاس,لساعة,يد,آبـل,42,مم,–,أسود",UNIQ-KRONOS-DUFFLE-FOR-APPLE-WATCH-42MM-LEATHER-DALLAS-BLACK,"• Easy slide for quick installation
• With genuine leather
• Deftly hand-stitched and crafted
• Latest apple watch strap
• The perfect match for your Apple watch
• Compatible with Apple watch 42mm","• شريحة سهلة للتركيب السريع
• مصنوع من الجلد الطبيعي
• أطرف مخيطة ومتينة
• أحدث رباط لساعة يد آبـل
• مطابقة مثالية مع ساعة يد آبـل
• متوافق مع ساعة يد آبـل 42 مم"
44,,8886463664124.0,B2B-UNIQ-42MM-KRDUBU,NAVY BLUE,UNIQ KRONOS DUFFLE FOR APPLE WATCH 42MM LEATHER STERLING - NAVY BLUE,,يونيك كرونوس دوفل رباط معصم جلدي دالاس لساعة يد آبـل 42 مم – أزرق بحري,11.5,OUT OF STOCK,,"UNIQ,KRONOS,DUFFLE,FOR,APPLE,WATCH,42MM,LEATHER,STERLING,NAVY,BLUE","يونيك,كرونوس,دوفل,رباط,معصم,جلدي,دالاس,لساعة,يد,آبـل,42,مم,–,أزرق,بحري",UNIQ-KRONOS-DUFFLE-FOR-APPLE-WATCH-42MM-LEATHER-STERLING-NAVY-BLUE,,
45,,8886463664230.0,B2B-UNIQ-FUELE-KBK,OBSDN KNIT BLK,UNIQ FUELE KANVAS 10000MAH USB-C PD SLIM PWR BANK - OBSDN KNIT BLK,,يونيك فويل كانفاس بنك طاقة رقيق سعة 10000 مل أمبير ساعي بمنفذ USB فئة سي,16.75,,,"UNIQ,FUELE,KANVAS,10000MAH,USB-C,PD,SLIM,PWR,BANK,OBSDN,KNIT,BLK","يونيك,فويل,كانفاس,بنك,طاقة,رقيق,سعة,10000,مل,أمبير,ساعي,بمنفذ,USB,فئة,سي",UNIQ-FUELE-KANVAS-10000MAH-USB-C-PD-SLIM-PWR-BANK-OBSDN-KNIT-BLK,"• Extremely Easy To Operate.
• Dual USB Output.
• Low Power Consumption.
• Premium Looks With A Unique Design.
• 10000mAh USB-C PD Power Bank
• Compatible with all smartphones","• سهل التشغيل للغاية.
• مخرج USB مزدوج.
• استهلاك منخفض للطاقة.
• مظهر مميز بتصميم فريد.
• تبلغ سعة بنك الطاقة 10000 مل أمبير ساعي تشحن عبر منفذ USB فئة سي PD.
• متوافق مع جميع الهواتف الذكية"
45,,8886463664247.0,B2B-UNIQ-FUELE-KGREY,MIST GREY,UNIQ FUELE KANVAS 10000MAH USB-C PD SLIM PWR BANK VEL - MIST GREY,,يونيك فويل كانفاس بنك طاقة رقيق سعة 10000 مل أمبير ساعي بمنفذ USB فئة سي,16.75,,,"UNIQ,FUELE,KANVAS,10000MAH,USB-C,PD,SLIM,PWR,BANK,VEL,MIST,GREY","يونيك,فويل,كانفاس,بنك,طاقة,رقيق,سعة,10000,مل,أمبير,ساعي,بمنفذ,USB,فئة,سي",UNIQ-FUELE-KANVAS-10000MAH-USB-C-PD-SLIM-PWR-BANK-VEL-MIST-GREY,,
46,,8886463666333.0,B2B-UNIQ-IP5.8H-DBK,BLACK,UNIQ HYBRID IPHONE XS/X DUFFLE - DALLAS - BLACK,,يونيك هايبرد غطاء حماية من المطر لأجهزة آبل آيفون XS / X - أسود,12.0,OUT OF STOCK,,"UNIQ,HYBRID,IPHONE,XS,X,DUFFLE,DALLAS,BLACK","يونيك,هايبرد,غطاء,حماية,من,المطر,لأجهزة,آبل,آيفون,XS,X,أسود",UNIQ-HYBRID-IPHONE-XS-X-DUFFLE-DALLAS-BLACK,"• Uniq Hybrid Case.
• Rain Proof Case.
• Compatible Devices Model: Apple iPhone Xs/x.
• Mobile Accessory Type: Cases & Covers.","• يونيك هايبرد غطاء حماية من المطر
• طراز الأجهزة المتوافقة: Apple iPhone Xs / x."
46,,8886463666340.0,B2B-UNIQ-IP5.8H-DCML,CAMEL,UNIQ HYBRID IPHONE XS/X DUFFLE - TANDY - CAMEL,,يونيك هايبرد غطاء حماية من المطر لأجهزة آبل آيفون XS / X - جملي,12.0,,,"UNIQ,HYBRID,IPHONE,XS,X,DUFFLE,TANDY,CAMEL","يونيك,هايبرد,غطاء,حماية,من,المطر,لأجهزة,آبل,آيفون,XS,X,جملي",UNIQ-HYBRID-IPHONE-XS-X-DUFFLE-TANDY-CAMEL,,
47,,8886463665541.0,B2B-UNIQ-IP5.8H-GOBK,,UNIQ HYBRID IPHONE XS/X GLAZE OMBRE - MIDAS - GRADIENT BLACK,,يونيك هايبرد غلاف غليز أومبر لجهاز آبـل آيفون X / XS – ميداس/أسود شفاف,7.5,OUT OF STOCK,,"UNIQ,HYBRID,IPHONE,XS,X,GLAZE,OMBRE,MIDAS,GRADIENT,BLACK","يونيك,هايبرد,غلاف,غليز,أومبر,لجهاز,آبـل,آيفون,X,XS,–,ميداس,أسود,شفاف",UNIQ-HYBRID-IPHONE-XS-X-GLAZE-OMBRE-MIDAS-GRADIENT-BLACK,"• Uniq Hybrid Case
• Mobile Accessory Type: Cases & Covers
• Compatible With: Apple
• 3D tempered glass cover with a holographic case
• Elegant Protective Uniq Glaze Ombre
• Made for Apple iPhone XS /X
• Protects Against Scratches, Abrasions and Other Surface Damage
• Exactly Fitting Cutouts, Protection of Control Buttons","• غلاف يونيك هايبرد
• النوع: ملحقات الهاتف المحمول (حافظات وأغطية)
• متوافق مع: آبل
• يونيك الأنيق غلاف مميز مع سطح ناعم ومصقول
• غطاء من الزجاج المقسى ثلاثي الأبعاد مع غلاف بنمط ثلاثي الأبعاد
• صنع لأبل آيفون إكس / إكس إس
• يحمي من الخدوش والتآكل والأضرار السطحية الأخرى
• تصميم دقيق بقواطع مناسبة، لحماية أزرار التحكم"
48,,8886463666234.0,B2B-UNIQ-IP5.8H-LBLU,,UNIQ HYBRID IPHONE XS/X LITHOS - AZURE - BLUE,,يونيك هايبرد غلاف ليثوس لجهاز آبـل آيفون X / XS - أزرق,5.5,,,"UNIQ,HYBRID,IPHONE,XS,X,LITHOS,AZURE,BLUE","يونيك,هايبرد,غلاف,ليثوس,لجهاز,آبـل,آيفون X, XS,أزرق",UNIQ-HYBRID-IPHONE-XS-X-LITHOS-AZURE-BLUE,"• Uniq Hybrid Case
• Mobile Accessory Type: Cases & Covers
• Compatible With: Apple
• 3D tempered glass cover with a holographic case
• Elegant Protective Uniq Glaze Ombre
• Made for Apple iPhone Xs / X
• Protects Against Scratches, Abrasions and Other Surface Damage
• Exactly Fitting Cutouts, Protection of Control Buttons","• غلاف يونيك هايبرد
• النوع: ملحقات الهاتف المحمول (حافظات وأغطية)
• متوافق مع: آبل
• يونيك الأنيق غلاف مميز مع سطح ناعم ومصقول
• غطاء من الزجاج المقسى ثلاثي الأبعاد مع غلاف بنمط ثلاثي الأبعاد
• صنع لأبل آيفون X / XS
• يحمي من الخدوش والتآكل والأضرار السطحية الأخرى
• تصميم دقيق بقواطع مناسبة، لحماية أزرار التحكم"
49,,8886463666425.0,B2B-UNIQ-IP6.5H-DFCL,,UNIQ HYBRID IPHONE XS MAX DUFFLE - TANDY - CAMEL,,يونيك هايبرد غلاف واقي من المطر لجهاز آيفون XS ماكس - جملي,12.0,OUT OF STOCK,,"UNIQ,HYBRID,IPHONE,XS,MAX,DUFFLE,TANDY,CAMEL","يونيك,هايبرد,غلاف,واقي,من,المطر,لجهاز,آيفون,XS,ماكس,جملي",UNIQ-HYBRID-IPHONE-XS-MAX-DUFFLE-TANDY-CAMEL,"• Luxurious Genuine Leather Case Uniq Duffle
• Made for Apple iPhone Xs Max
• Slot on Back of Credit Card Holder
• Quality Protection of the Device Against Surface Damage
• Suitable for Any Occasion","• غلاف من الجلد الأصلي الفاخر /يونيك دافل
• صنع لأبل آيفون XS ماكس
• فتحة على ظهر لوضع بطاقات الائتمان
• حماية عالية الجودة ضد الأضرار السطحية
• الخيار الأمثل لأي مناسبة
• التوافق آبل آيفون XS ماكس"
50,,8886463666319.0,B2B-UNIQ-IP6.5H-LBLU,,UNIQ HYBRID IPHONE XS MAX LITHOS - AZURE - BLUE,,يونيك هايبرد غلاف ليثوس لجهاز آبـل آيفون XS ماكس - أزرق,5.5,OUT OF STOCK,,"UNIQ,HYBRID,IPHONE,XS,MAX,LITHOS,AZURE,BLUE","يونيك,هايبرد,غلاف,ليثوس,لجهاز,آبـل,آيفون XS,ماكس,أزرق",UNIQ-HYBRID-IPHONE-XS-MAX-LITHOS-AZURE-BLUE,"• Uniq Hybrid Case
• Mobile Accessory Type: Cases & Covers
• Compatible With: Apple
• 3D tempered glass cover with a holographic case
• Elegant Protective Uniq Glaze Ombre
• Made for Apple iPhone XS Max
• Protects Against Scratches, Abrasions and Other Surface Damage
• Exactly Fitting Cutouts, Protection of Control Buttons","• غلاف يونيك هايبرد
• النوع: ملحقات الهاتف المحمول (حافظات وأغطية)
• متوافق مع: آبل
• يونيك الأنيق غلاف مميز مع سطح ناعم ومصقول
• غطاء من الزجاج المقسى ثلاثي الأبعاد مع غلاف بنمط ثلاثي الأبعاد
• صنع لأبل آيفون XS MAX
• يحمي من الخدوش والتآكل والأضرار السطحية الأخرى
• تصميم دقيق بقواطع مناسبة، لحماية أزرار التحكم"
